日付	始値	高値	安値	終値	前日比	5DMA	25DMA	75DMA	100DMA	200DMA
2021/4/23	17206.82	17243.84	17138.89	17243.72	-68.74	17301.61	17625.83	17325.45	17026.64	15839.34
2021/4/22	17203.27	17312.46	17144.40	17312.46	322.5	17385.93	17661.30	17311.72	17016.54	15822.51
2021/4/21	17080.94	17103.59	16913.67	16989.96	-350.52	17450.39	17693.54	17297.57	17004.97	15806.19
2021/4/20	17481.86	17481.86	17300.00	17340.48	-280.95	17566.89	17729.62	17288.93	16995.60	15791.00
2021/4/19	17664.60	17703.53	17595.72	17621.43	-43.88	17625.51	17750.91	17277.40	16982.02	15775.36
2021/4/16	17682.67	17697.06	17587.52	17665.31	30.52	17621.30	17756.60	17258.29	16962.24	15757.65
2021/4/15	17602.27	17734.74	17596.70	17634.79	62.35	17621.51	17754.86	17237.22	16942.15	15740.54
2021/4/14	17583.68	17600.09	17511.31	17572.44	-61.13	17614.42	17744.48	17216.13	16921.68	15723.83
2021/4/13	17630.22	17753.28	17607.61	17633.57	33.16	17643.98	17735.59	17194.75	16903.10	15707.11
2021/4/12	17735.10	17746.94	17600.39	17600.41	-65.92	17643.88	17723.30	17171.94	16883.42	15690.26
2021/4/9	17661.78	17848.73	17650.11	17666.33	66.96	17703.01	17703.85	17152.60	16861.46	15673.56
2021/4/8	17687.89	17687.89	17539.74	17599.37	-120.83	17727.91	17682.35	17132.94	16841.04	15656.74
2021/4/7	17695.63	17758.73	17574.01	17720.20	87.11	17742.45	17659.76	17114.16	16821.43	15640.58
2021/4/6	17948.04	17948.04	17616.30	17633.09	-262.96	17722.99	17639.64	17093.19	16797.99	15620.99
2021/4/5	17860.52	17924.57	17814.35	17896.05	105.22	17769.44	17619.81	17072.88	16773.35	15603.68
2021/4/2	17826.20	17872.55	17723.82	17790.83	118.74	17788.68	17592.45	17050.20	16743.94	15585.80
2021/4/1	17791.38	17817.34	17631.70	17672.09	49.2	17810.30	17555.68	17028.05	16714.79	15570.03
2021/3/31	17756.90	17839.37	17622.89	17622.89	-242.46	17802.62	17546.85	17006.98	16684.79	15555.06
2021/3/30	17888.03	17907.92	17766.19	17865.35	-126.89	17754.56	17531.44	16987.33	16653.36	15540.41
2021/3/29	18075.33	18090.08	17832.72	17992.24	93.3	17730.75	17518.42	16962.09	16616.80	15523.76
2021/3/26	17830.20	17927.38	17794.53	17898.94	265.27	17714.53	17497.29	16935.60	16581.88	15506.07
