日付	始値	高値	安値	終値	前日比	5DMA	25DMA	75DMA	100DMA	200DMA
2021/4/23	28939.12	29035.34	28770.62	29020.63	-167.54	29100.62	29378.21	29168.83	28575.18	26022.47
2021/4/22	28880.78	29192.39	28800.86	29188.17	679.62	29233.17	29409.07	29144.01	28551.42	25987.97
2021/4/21	28660.36	28778.93	28419.84	28508.55	-591.83	29324.07	29450.21	29118.28	28524.91	25953.47
2021/4/20	29355.87	29361.28	29014.36	29100.38	-584.99	29546.56	29506.44	29104.08	28502.80	25920.91
2021/4/19	29688.32	29808.01	29530.84	29685.37	2	29676.81	29539.27	29083.65	28473.45	25887.97
2021/4/16	29789.08	29789.08	29621.83	29683.37	40.68	29647.48	29542.53	29045.90	28431.87	25850.84
2021/4/15	29573.90	29787.66	29558.55	29642.69	21.7	29664.42	29543.91	29005.55	28391.38	25815.09
2021/4/14	29718.06	29722.40	29567.18	29620.99	-130.62	29677.67	29526.67	28965.89	28352.23	25779.62
2021/4/13	29605.69	29897.11	29573.79	29751.61	212.88	29699.63	29503.29	28924.61	28316.17	25743.71
2021/4/12	29874.43	29876.04	29538.73	29538.73	-229.33	29688.64	29474.35	28880.40	28277.72	25707.34
2021/4/9	29865.53	30064.35	29768.06	29768.06	59.08	29798.74	29442.53	28842.75	28236.19	25671.42
2021/4/8	29675.88	29744.79	29516.42	29708.98	-21.81	29815.93	29406.38	28802.68	28193.72	25634.86
2021/4/7	29743.48	29867.94	29523.55	29730.79	34.16	29751.91	29375.22	28763.99	28150.13	25599.23
2021/4/6	30208.89	30208.89	29665.86	29696.63	-392.62	29641.51	29368.36	28724.34	28101.88	25558.23
2021/4/5	30084.61	30195.00	30024.25	30089.25	235.25	29588.72	29356.82	28684.22	28053.31	25521.27
2021/4/2	29704.66	29869.67	29694.09	29854.00	465.13	29447.78	29339.79	28639.47	27995.67	25483.19
2021/4/1	29441.91	29585.46	29318.82	29388.87	210.07	29312.32	29304.27	28596.78	27938.18	25449.55
2021/3/31	29278.33	29348.99	29165.52	29178.80	-253.9	29180.52	29335.44	28561.68	27881.24	25418.06
2021/3/30	29365.04	29478.20	29283.89	29432.70	48.18	29025.86	29355.16	28530.20	27822.41	25388.05
2021/3/29	29478.12	29578.37	29200.88	29384.52	207.82	28938.51	29384.09	28490.66	27757.86	25355.21
2021/3/26	29068.52	29240.74	28953.22	29176.70	446.82	28896.43	29409.43	28452.83	27697.33	25321.77
2021/3/25	28457.33	28821.83	28414.92	28729.88	324.36	29019.50	29451.80	28420.49	27639.75	25288.95
2021/3/24	28765.55	28867.67	28379.06	28405.52	-590.4	29316.88	29514.30	28394.88	27587.31	25256.93
2021/3/23	29381.49	29496.83	28995.92	28995.92	-178.23	29618.64	29596.79	28373.49	27538.20	25225.21
2021/3/22	29444.10	29472.98	29107.63	29174.15	-617.9	29803.67	29640.31	28344.04	27483.40	25189.62
2021/3/19	29904.57	30049.77	29621.22	29792.05	-424.7	29922.24	29654.15	28307.50	27426.40	25153.34
2021/3/18	30148.48	30485.00	30041.50	30216.75	302.42	29907.39	29644.99	28265.54	27364.88	25111.47
2021/3/17	29836.83	29984.97	29825.16	29914.33	-6.76	29706.37	29616.55	28216.48	27298.38	25066.74
2021/3/16	29770.39	30026.40	29755.47	29921.09	154.12	29530.82	29595.52	28168.25	27235.95	25020.88
2021/3/15	29804.50	29884.73	29670.31	29766.97	49.14	29352.19	29549.84	28118.17	27170.84	24973.22
2021/3/12	29287.74	29744.32	29210.40	29717.83	506.19	29147.44	29492.84	28061.65	27108.25	24927.14
2021/3/11	29033.92	29255.42	28995.33	29211.64	175.08	28976.74	29449.99	28007.20	27047.33	24881.53
2021/3/10	29118.28	29233.47	28960.09	29036.56	8.62	28920.44	29416.01	27960.75	26991.24	24837.64
2021/3/9	28748.87	29053.56	28609.21	29027.94	284.69	29024.94	29378.19	27920.46	26936.46	24793.12
2021/3/8	29208.19	29255.90	28644.26	28743.25	-121.07	29100.99	29323.61	27878.85	26882.38	24748.17
2021/3/5	28725.48	28867.83	28308.57	28864.32	-65.79	29285.04	29301.78	27834.08	26831.41	24704.03
2021/3/4	29198.42	29277.19	28711.04	28930.11	-628.99	29305.38	29292.61	27789.50	26777.00	24661.04
2021/3/3	29482.12	29604.37	29336.60	29559.10	150.93	29553.01	29277.25	27741.76	26722.03	24618.22
2021/3/2	29939.75	29996.39	29314.82	29408.17	-255.33	29575.53	29247.78	27679.72	26659.56	24572.38
2021/3/1	29419.45	29686.39	29396.04	29663.50	697.49	29725.10	29216.71	27618.81	26595.78	24526.24
2021/2/26	29753.73	29760.31	28966.01	28966.01	-1202.26	29795.99	29180.45	27547.63	26531.00	24476.29
2021/2/25	30077.27	30213.28	30044.43	30168.27	496.57	30050.00	29162.74	27482.82	26473.19	24429.56
2021/2/24	30020.11	30089.59	29671.70	29671.70	-484.33	30074.79	29101.35	27396.51	26406.90	24379.69
2021/2/22	30281.78	30458.13	30089.18	30156.03	138.11	30234.00	29044.17	27311.49	26345.30	24330.18
2021/2/19	29970.59	30169.59	29847.33	30017.92	-218.17	30219.62	28978.69	27215.78	26275.78	24278.32
2021/2/18	30311.98	30560.49	30140.01	30236.09	-56.1	30120.05	28925.91	27126.63	26206.48	24224.54
2021/2/17	30366.82	30398.20	30191.01	30292.19	-175.56	29985.42	28854.73	27035.73	26137.59	24170.51
2021/2/16	30229.46	30714.52	30191.65	30467.75	383.6	29828.17	28769.61	26944.98	26068.27	24114.74
2021/2/15	29662.41	30092.34	29662.41	30084.15	564.08	29612.32	28676.46	26852.00	25996.78	24058.80
2021/2/12	29635.88	29650.51	29417.32	29520.07	-42.86	29351.32	28572.70	26764.43	25930.70	24006.73
2021/2/10	29412.55	29562.93	29368.18	29562.93	57	29115.70	28474.14	26683.82	25870.05	23958.61
2021/2/9	29435.61	29585.75	29350.48	29505.93	117.43	28932.41	28377.96	26604.84	25810.01	23907.25
2021/2/8	28831.58	29400.56	28817.60	29388.50	609.31	28703.66	28288.06	26525.66	25749.01	23857.47
2021/2/5	28631.46	28785.71	28548.27	28779.19	437.24	28444.17	28210.29	26449.42	25687.48	23808.72
2021/2/4	28557.46	28600.22	28325.89	28341.95	-304.55	28221.01	28161.85	26377.84	25630.02	23760.04
2021/2/3	28482.71	28669.95	28402.30	28646.50	284.33	28192.11	28102.33	26313.38	25579.34	23715.82
2021/2/2	28207.48	28379.31	28089.12	28362.17	271.12	28189.85	28022.74	26246.45	25523.77	23669.32
2021/2/1	27649.07	28107.10	27649.07	28091.05	427.66	28226.65	27954.98	26182.98	25472.21	23624.28
2021/1/29	28320.72	28320.72	27629.80	27663.39	-534.03	28372.90	27892.33	26122.55	25425.95	23578.57
2021/1/28	28169.27	28360.48	27975.85	28197.42	-437.79	28566.51	27843.25	26068.63	25381.79	23533.14
2021/1/27	28665.34	28754.99	28542.00	28635.21	89.03	28678.40	27783.93	26007.96	25331.20	23481.25
2021/1/26	28696.30	28740.71	28527.81	28546.18	-276.11	28656.01	27709.06	25938.46	25276.24	23427.17
2021/1/25	28698.89	28822.29	28566.85	28822.29	190.84	28673.46	27639.48	25870.29	25219.61	23374.76
2021/1/22	28580.20	28698.18	28527.16	28631.45	-125.41	28557.45	27556.88	25796.83	25163.47	23325.24
2021/1/21	28710.41	28846.15	28677.61	28756.86	233.6	28534.99	27479.14	25722.14	25110.07	23277.51
2021/1/20	28798.74	28801.19	28402.11	28523.26	-110.2	28523.27	27398.16	25647.85	25055.46	23230.67
2021/1/19	28405.49	28720.91	28373.34	28633.46	391.25	28509.94	27323.33	25576.67	25000.09	23181.37
2021/1/18	28238.68	28349.97	28111.54	28242.21	-276.97	28416.12	27248.24	25508.75	24942.96	23135.94
2021/1/15	28777.47	28820.50	28477.03	28519.18	-179.08	28395.48	27191.27	25445.67	24889.34	23085.19
2021/1/14	28442.73	28979.53	28411.58	28698.26	241.67	28189.67	27109.19	25374.81	24835.25	23027.03
2021/1/13	28140.10	28503.43	28133.59	28456.59	292.25	27861.21	27023.16	25300.01	24778.78	22966.31
2021/1/12	28004.37	28287.37	27899.45	28164.34	25.31	27601.61	26954.94	25231.87	24725.18	22907.66
2021/1/8	27720.14	28139.03	27667.75	28139.03	648.9	27420.42	26900.74	25167.82	24676.43	22851.89
2021/1/7	27340.46	27624.73	27340.46	27490.13	434.19	27281.45	26847.22	25103.56	24627.54	22796.21
2021/1/6	27102.85	27196.40	27002.18	27055.94	-102.69	27297.05	26819.12	25050.03	24581.08	22745.91
2021/1/5	27151.38	27279.78	27073.46	27158.63	-99.75	27256.67	26794.23	25002.01	24538.02	22703.43
2021/1/4	27575.57	27602.11	27042.32	27258.38	-185.79	27156.27	26773.67	24954.02	24489.73	22664.72
2020/12/30	27559.10	27572.57	27338.56	27444.17	-123.98	27038.26	26744.83	24902.67	24441.33	22627.76
2020/12/29	26936.38	27602.52	26921.14	27568.15	714.12	26854.39	26698.93	24846.55	24392.04	22589.03
2020/12/28	26691.29	26854.03	26664.60	26854.03	197.42	26628.03	26642.83	24786.07	24342.09	22554.94
2020/12/25	26708.10	26716.61	26638.28	26656.61	-11.74	26600.11	26589.76	24738.34	24295.51	22527.32
2020/12/24	26635.11	26764.53	26605.26	26668.35	143.56	26621.47	26548.87	24690.79	24246.04	22499.54
2020/12/23	26580.43	26585.21	26414.74	26524.79	88.4	26649.13	26511.27	24644.61	24202.75	22471.61
2020/12/22	26559.33	26639.99	26361.66	26436.39	-278.03	26695.65	26490.86	24603.82	24161.47	22445.70
2020/12/21	26834.10	26905.67	26533.63	26714.42	-48.97	26745.94	26469.68	24561.30	24123.68	22419.24
2020/12/18	26775.53	26824.29	26707.30	26763.39	-43.28	26749.55	26416.54	24513.62	24083.70	22395.41
2020/12/17	26744.50	26843.05	26676.28	26806.67	49.27	26727.37	26366.84	24465.30	24043.58	22373.72
2020/12/16	26835.59	26874.98	26717.03	26757.40	69.56	26717.29	26308.55	24412.98	24004.36	22352.71
2020/12/15	26683.11	26736.84	26605.54	26687.84	-44.6	26729.40	26234.48	24365.67	23963.96	22335.86
2020/12/14	26659.53	26870.47	26648.69	26732.44	79.92	26685.24	26160.56	24320.37	23924.04	22319.82
2020/12/11	26732.85	26819.41	26553.01	26652.52	-103.72	26648.24	26064.27	24274.57	23884.42	22303.16
2020/12/10	26688.50	26852.77	26639.98	26756.24	-61.7	26667.99	25962.38	24225.67	23847.35	22285.86
2020/12/9	26526.34	26826.78	26520.60	26817.94	350.86	26678.61	25839.94	24174.53	23805.66	22269.70
2020/12/8	26380.32	26523.30	26327.08	26467.08	-80.36	26675.22	25699.05	24122.03	23765.33	22254.05
2020/12/7	26894.25	26894.25	26500.32	26547.44	-203.8	26739.31	25559.45	24077.28	23723.56	22240.85
2020/12/4	26697.26	26799.83	26646.08	26751.24	-58.13	26716.55	25430.83	24030.66	23683.38	22227.42
2020/12/3	26740.30	26868.09	26719.23	26809.37	8.39	26695.24	25297.52	23981.93	23640.26	22212.09
2020/12/2	26884.99	26889.90	26695.28	26800.98	13.44	26640.83	25164.58	23935.00	23598.31	22197.19
2020/12/1	26624.20	26852.16	26618.39	26787.54	353.92	26540.01	25032.31	23887.65	23557.44	22182.55
