日付	始値	高値	安値	終値	前日比	出来高	5DMA	25DMA	75DMA	100DMA	200DMA	5DVMA	25DVMA	75DVMA
2021/4/23	1911.41	1916.51	1904.64	1914.98	-7.52	95501	1921.69	1955.79	1916.76	1882.74	1753.64	106130	116913	130571
2021/4/22	1911.91	1923.18	1905.67	1922.50	34.32	108355	1930.87	1959.68	1915.11	1881.45	1751.76	105212	121500	130617
2021/4/21	1897.91	1899.91	1879.68	1888.18	-38.07	126232	1938.20	1963.12	1913.40	1880.01	1749.94	102369	123563	130448
2021/4/20	1940.92	1940.92	1922.53	1926.25	-30.31	108739	1951.00	1966.96	1912.29	1878.80	1748.24	97848	123526	129936
2021/4/19	1960.81	1965.49	1953.98	1956.56	-4.31	91823	1957.46	1969.17	1910.86	1877.16	1746.50	96433	124853	129847
2021/4/16	1963.74	1964.69	1952.67	1960.87	1.74	90915	1957.06	1969.65	1908.61	1874.87	1744.53	97154	127347	129968
2021/4/15	1955.28	1969.29	1954.79	1959.13	6.95	94138	1956.78	1969.26	1906.18	1872.53	1742.62	101438	130042	129682
2021/4/14	1953.92	1955.52	1946.17	1952.18	-6.37	103628	1955.33	1967.89	1903.72	1870.14	1740.76	105300	131788	129598
2021/4/13	1957.91	1971.78	1955.89	1958.55	3.96	101661	1958.38	1966.60	1901.22	1867.97	1738.90	106250	133217	129538
2021/4/12	1967.30	1968.62	1954.59	1954.59	-4.88	95429	1957.54	1964.96	1898.59	1865.70	1737.02	108636	135635	129613
2021/4/9	1958.99	1978.68	1957.81	1959.47	7.61	112338	1963.33	1962.52	1896.38	1863.19	1735.16	108997	137862	129730
2021/4/8	1962.93	1962.93	1946.33	1951.86	-15.57	113446	1965.76	1959.99	1894.17	1860.85	1733.30	106576	139090	129961
2021/4/7	1961.03	1970.36	1950.48	1967.43	13.09	108380	1966.91	1957.30	1892.04	1858.63	1731.51	108806	139695	129970
2021/4/6	1989.09	1989.09	1951.64	1954.34	-29.2	113587	1964.23	1954.79	1889.64	1855.96	1729.33	113647	140185	130005
